99 = es una posición inicial; robot; coordenada x en mm; coordenada y en mm; ángulo respecto a la horizontal

Desplazamientos: #imagen; robot; x (mm); y (mm); ángulo (°)
0.0;3.0;0.0;0.0;-94.57
1.0;3.0;-118.0;16.0;-96.58
2.0;3.0;-476.0;78.0;-102.99
3.0;3.0;-593.0;106.0;146.31
4.0;3.0;-564.0;140.0;45.0
5.0;3.0;-516.0;90.0;38.99
6.0;3.0;-306.0;-147.0;38.29
7.0;3.0;-335.0;-128.0;139.9
8.0;3.0;-213.0;8.0;133.45
9.0;3.0;19.0;284.0;-167.47
10.0;3.0;47.0;242.0;-63.43
11.0;3.0;-229.0;336.0;-112.93
12.0;3.0;-547.0;450.0;-56.31
13.0;3.0;-547.0;455.0;-4.24
14.0;3.0;-556.0;104.0;-4.09
15.0;3.0;-567.0;-121.0;-2.29
16.0;3.0;-554.0;-91.0;106.26
17.0;3.0;-219.0;21.0;105.64
18.0;3.0;4.0;102.0;-9.46
19.0;3.0;-16.0;-117.0;-9.09
20.0;3.0;-23.0;-84.0;104.62
21.0;3.0;-1251.0;71.0;-11.31
21.0;3.0;-15.0;-83.0;106.93
22.0;3.0;-11.0;-86.0;2.29
23.0;3.0;-12.0;-92.0;-102.26
24.0;3.0;-216.0;-37.0;-108.43
25.0;3.0;-569.0;84.0;-111.04
26.0;3.0;-549.0;128.0;136.55
27.0;3.0;-302.0;407.0;136.47
28.0;3.0;-164.0;540.0;-124.29
29.0;3.0;-261.0;601.0;-127.69
30.0;3.0;-225.0;591.0;-16.5
31.0;3.0;-278.0;411.0;-21.04
32.0;3.0;-407.0;57.0;-24.62
33.0;3.0;-428.0;-8.0;-119.48
34.0;3.0;-630.0;129.0;-127.69
35.0;3.0;-933.0;356.0;-130.6
36.0;3.0;-931.0;354.0;-132.14
38.0;3.0;-1135.0;579.0;93.69
39.0;3.0;-1092.0;577.0;84.64
41.0;3.0;-1154.0;304.0;-12.53
44.0;3.0;-1244.0;-30.0;104.04
45.0;3.0;-1007.0;104.0;117.65
46.0;3.0;-706.0;271.0;66.25
47.0;3.0;-700.0;268.0;12.53
48.0;3.0;-630.0;-63.0;8.75
49.0;3.0;-624.0;-121.0;-85.76
50.0;3.0;-682.0;-125.0;-90.0
51.0;3.0;-1045.0;-121.0;-96.58
0.0;4.0;6.0;159.0;-102.53
1.0;4.0;-46.0;169.0;-104.53
2.0;4.0;-398.0;240.0;-105.95
3.0;4.0;-578.0;278.0;-113.2
4.0;4.0;-702.0;316.0;-111.45
5.0;4.0;-1069.0;430.0;-113.2
6.0;4.0;-1181.0;468.0;-1.79
7.0;4.0;-1173.0;258.0;1.91
8.0;4.0;-1149.0;-102.0;4.4
9.0;4.0;25.0;257.0;12.53
9.0;4.0;-1144.0;-76.0;114.78
10.0;4.0;53.0;245.0;116.57
10.0;4.0;-890.0;55.0;111.04
11.0;4.0;-621.0;203.0;-132.27
12.0;4.0;-745.0;309.0;-135.0
13.0;4.0;-1035.0;567.0;-137.6
14.0;4.0;-1019.0;544.0;117.41
15.0;4.0;-1004.0;552.0;113.96
16.0;4.0;-992.0;552.0;-1.79
17.0;4.0;-1013.0;471.0;-19.65
18.0;4.0;-1093.0;114.0;-16.5
19.0;4.0;-1108.0;-22.0;-131.01
21.0;4.0;-1245.0;101.0;168.69
22.0;4.0;-935.0;271.0;117.47
23.0;4.0;-771.0;400.0;13.57
24.0;4.0;-717.0;215.0;11.69
25.0;4.0;-608.0;-130.0;15.07
26.0;4.0;-605.0;-124.0;124.82
27.0;4.0;-513.0;-46.0;126.47
28.0;4.0;-233.0;202.0;128.05
29.0;4.0;-147.0;287.0;-120.26
30.0;4.0;-393.0;412.0;-119.98
31.0;4.0;-714.0;558.0;-69.23
32.0;4.0;-721.0;451.0;-7.35
33.0;4.0;-740.0;83.0;-8.13
34.0;4.0;-731.0;-48.0;-114.78
35.0;4.0;-1054.0;80.0;-113.96
36.0;4.0;-1224.0;145.0;-112.48
37.0;4.0;-1220.0;134.0;140.71
38.0;4.0;-1055.0;385.0;141.95
39.0;4.0;-946.0;557.0;140.44
40.0;4.0;-952.0;563.0;-123.18
41.0;4.0;-1052.0;610.0;-124.7
42.0;4.0;-1022.0;585.0;1.85
43.0;4.0;-1007.0;384.0;0.0
44.0;4.0;-1256.0;-33.0;-75.96
44.0;4.0;-967.0;14.0;4.09
45.0;4.0;-955.0;-23.0;109.09
46.0;4.0;-642.0;114.0;111.45
47.0;4.0;-425.0;237.0;1.97
48.0;4.0;-403.0;94.0;2.05
49.0;4.0;-371.0;-113.0;4.24
50.0;4.0;-364.0;-93.0;-102.09
51.0;4.0;-642.0;-50.0;-101.69
52.0;4.0;-961.0;-4.0;169.51
53.0;4.0;-957.0;2.0;141.01
0.0;6.0;2.0;297.0;-86.19
1.0;6.0;-135.0;330.0;-92.05
2.0;6.0;-503.0;411.0;-93.81
3.0;6.0;-584.0;454.0;157.83
4.0;6.0;-524.0;531.0;-93.69
5.0;6.0;-611.0;546.0;-90.0
6.0;6.0;-941.0;610.0;-90.0
7.0;6.0;-889.0;609.0;-30.96
8.0;6.0;-1019.0;456.0;-30.96
9.0;6.0;-1244.0;169.0;-25.56
10.0;6.0;-1293.0;184.0;145.18
11.0;6.0;-999.0;115.0;90.0
12.0;6.0;-670.0;61.0;151.56
13.0;6.0;-681.0;96.0;-157.07
15.0;6.0;-770.0;553.0;-42.27
16.0;6.0;-864.0;481.0;-42.51
17.0;6.0;-1156.0;266.0;-41.82
18.0;6.0;-1253.0;234.0;117.41
19.0;6.0;-939.0;30.0;68.96
20.0;6.0;-721.0;-87.0;68.96
21.0;6.0;-653.0;-123.0;68.96
22.0;6.0;-590.0;-166.0;154.44
23.0;6.0;-588.0;-158.0;173.42
24.0;6.0;-495.0;164.0;173.88
25.0;6.0;-429.0;418.0;64.36
26.0;6.0;-227.0;285.0;64.36
27.0;6.0;38.0;115.0;66.5
28.0;6.0;-34.0;150.0;-178.03
29.0;6.0;3.0;378.0;-178.09
30.0;6.0;31.0;533.0;-175.91
31.0;6.0;39.0;525.0;-62.53
32.0;6.0;-277.0;422.0;-63.43
33.0;6.0;-564.0;347.0;-176.05
34.0;6.0;-551.0;504.0;-174.09
35.0;6.0;-912.0;338.0;-65.7
35.0;6.0;-546.0;503.0;147.99
36.0;6.0;-436.0;461.0;75.47
37.0;6.0;-98.0;311.0;75.47
38.0;6.0;56.0;242.0;18.43
39.0;6.0;-191.0;24.0;-36.47
41.0;6.0;-321.0;-126.0;83.42
42.0;6.0;-191.0;-166.0;69.44
43.0;6.0;-212.0;-131.0;180.0
44.0;6.0;-156.0;211.0;180.0
45.0;6.0;-124.0;441.0;72.9
46.0;6.0;57.0;339.0;70.2
47.0;6.0;-19.0;369.0;-176.05
48.0;6.0;-4.0;471.0;-177.95
49.0;6.0;16.0;544.0;76.5
50.0;6.0;16.0;544.0;77.01
51.0;6.0;12.0;539.0;-35.31
52.0;6.0;-200.0;331.0;-38.05
53.0;6.0;-438.0;110.0;-143.53
